"","Operator","count","Fatal","Ratio"
"350","Island Airways",2,4,0.285714285714286
"351","Jamair",2,20,0.645161290322581
"352","Jett Paqueteria SA",2,5,1
"353","Juba Air Cargo",2,7,0.583333333333333
"354","Kamchatavia",2,11,0.423076923076923
"355","Karibu Airways",2,2,0.0645161290322581
"356","Kenn Borek Air",2,10,0.833333333333333
"357","Kenya Airways",2,283,0.965870307167236
"358","KNILM",2,16,0.761904761904762
"359","Kodiak Airways",2,6,0.6
"360","Korean Air",2,7,1
"361","LAC Colombia",2,11,0.733333333333333
"362","LADE",2,11,0.785714285714286
"363","Lao Aviation",2,26,0.742857142857143
"364","LARES",2,29,0.878787878787879
"365","Lineas Aí©reas La Urraca",2,18,0.642857142857143
"366","Lineas Aí©reas Nacionales",2,27,1
"367","Lineas Aereas Nacionales SA (Peru)",2,190,0.989583333333333
"368","Loftleidir IcelandiAirlines",2,188,0.704119850187266
"369","Loide Aereo Nacional",2,46,0.901960784313726
"370","Los Angeles Airways",2,44,1
"371","Malaysia Airlines",2,134,0.875816993464052
"372","Malu Aviation",2,8,0.25
"373","Mandala Airlines",2,169,0.903743315508021
"374","Martinair Holland NV",2,247,0.465160075329567
"375","Merpati Nasantara Airlines",2,18,0.9
"376","Miami Airlines",2,63,0.777777777777778
"377","MK Airlines",2,8,0.4
"378","Mountain Air Cargo",2,2,1
"379","Munz Northern Airlines",2,4,0.8
"380","Necon Air",2,19,0.703703703703704
"381","New Tribes Mission",2,36,1
"382","Nile Safaris Aviation",2,14,1
"383","Nordair",2,6,1
"384","Northeast Jet",2,3,0.75
"385","Norwegian Airlines",2,54,0.675
"386","Orient Airways",2,17,0.414634146341463
"387","PacifiAir Lines",2,45,0.714285714285714
"388","PacifiSouthwest Airlines",2,46,0.356589147286822
"389","Pan African Air Charter",2,42,1
"390","Pan American Grace Airlines",2,17,0.566666666666667
"391","Panagra",2,14,0.736842105263158
"392","Paraense Transportes Aí©reos",2,17,1
"393","PenAir",2,12,1
"394","Piedmont Airlines / Private",2,86,0.682539682539683
"395","Pilgrim Airlines",2,6,0.352941176470588
"396","Pioneer Airlines",2,11,1
"397","Polynesian Airlines",2,35,0.945945945945946
"398","Private charter",2,8,1
"399","Private Charter",2,9,1
"400","Provincetown - Boston Airlines",2,14,0.736842105263158
"401","Quebecair",2,21,0.5
"402","Queen Charlotte Airlines",2,37,0.902439024390244
"403","Queensland Airlines",2,18,1
"404","Rapid Air Transport",2,7,1
"405","Regina Cargo Airlines",2,22,0.956521739130435
"406","Riddle Airlines",2,4,1
"407","Royal Air Lao",2,60,1
"408","Royal Air Maroc",2,105,0.833333333333333
"409","Ryan Air Services",2,26,0.896551724137931
"410","Sabah Air",2,22,1
"411","Sabang Merauke Raya Air Charter",2,11,0.458333333333333
