"","Operator","count","Fatal","Ratio"
"484","Rapid Air Transport",2,7,1
"485","Regina Cargo Airlines",2,22,0.956521739130435
"486","Riddle Airlines",2,4,1
"487","Royal Air Lao",2,60,1
"488","Royal Air Maroc",2,105,0.833333333333333
"489","Ryan Air Services",2,26,0.896551724137931
"490","Sabah Air",2,22,1
"491","Sabang Merauke Raya Air Charter",2,11,0.458333333333333
"492","Saha Airline Services",2,42,0.201923076923077
"493","Sakha Airlines",2,37,1
"494","Salair",2,4,1
"495","SAM Colombia",2,178,1
"496","Sasco Air Lines",2,24,1
"497","SATA",2,71,0.771739130434783
"498","SATCO",2,7,0.241379310344828
"499","Saturn Airways",2,6,1
"500","Savanair",2,7,0.291666666666667
"501","SAVCO",2,13,1
"502","SCADTA",2,5,1
"503","SceniAirlines",2,17,1
"504","Scibe Airlift Cargo Zaire",2,39,1
"505","Service Air",2,10,1
"506","Servivensa",2,8,0.222222222222222
"507","Sibir Airlines",2,124,1
"508","Singapore Airlines",2,85,0.469613259668508
"509","Skyline Airways",2,14,1
"510","Skypower Express Airways",2,6,0.1875
"511","Skyways of London",2,11,0.174603174603175
"512","Sobelair SA (Belgium)",2,141,1
"513","Sociedad Aeronautica Medellin",2,48,1
"514","Solomon Islands Airlines",2,26,1
"515","South PacifiIsland Airways",2,11,0.458333333333333
"516","Southcentral Air",2,7,0.7
"517","Southern Airways",2,137,0.85625
"518","Southwest Air",2,16,0.888888888888889
"519","Southwest Airlines",2,0,0
"520","Syrian Airways",2,28,0.823529411764706
"521","TAESA",2,30,1
"522","TAN",2,130,0.87248322147651
"523","TAO",2,10,0.833333333333333
"524","Taxader Airlines",2,44,0.758620689655172
"525","Telford Aviation",2,9,1
"526","Tigres Voladores",2,44,1
"527","Trans Continental Air Transport",2,13,1
"528","Trans Guyana Airways",2,3,0.375
"529","Trans Service Airlift",2,144,0.872727272727273
"530","Trans World Airlines / Private",2,28,0.166666666666667
"531","Transafrik",2,23,1
"532","Transasia Airways",2,6,1
"533","Transportes Aí©reos Mexicanos",2,4,0.8
"534","Union Airways",2,7,0.777777777777778
"535","United Air Lines / Trans World Airlines",2,256,1
"536","United Airways",2,36,1
"537","Universal Airlines",2,16,0.727272727272727
"538","Universal Jet Aviation",2,5,1
"539","Uzbekistan Airways",2,39,0.557142857142857
"540","ValuJet",2,110,0.63953488372093
"541","Vanair",2,16,0.761904761904762
"542","Vayudoot",2,45,1
"543","Vieques Air Link",2,14,0.736842105263158
"544","Vietnam Airlines",2,95,0.979381443298969
"545","VOTEC",2,25,0.892857142857143
"546","VoteTaxi Aí©reo",2,16,1
"547","West Caribbean Airways",2,168,0.96551724137931
"548","Western Canada Airways",2,5,0.833333333333333
"549","Wien Consolidated Airlines",2,40,0.909090909090909
"550","Wuhan Airlines",2,58,0.734177215189873
"551","Yakutavia",2,17,0.586206896551724
"552","Yemen Airlines",2,13,1
"553","Yute Air Alaska - Air Taxi",2,5,0.416666666666667
"554","Aí©reo Ruta Maya",1,11,0.785714285714286
"555","Aí©rotaxi Cachanilla",1,8,1
"556","Ababeel Aviaition",1,4,1
"557","Abakan Airlines",1,3,0.157894736842105
"558","Aca-Ancargo",1,44,1
"559","Ace Flying Service",1,2,1
"560","Acme Air",1,2,1
"561","Action Air Express Inc. - Air Taxi",1,2,1
"562","Action Airlines",1,8,0.888888888888889
"563","Adam Air",1,102,1
"564","Advance Airlines",1,13,1
"565","AECA Cargo",1,4,1
"566","Aegler Stuart Flying Service  / Private",1,4,0.8
"567","Aer Turas",1,2,1
"568","Aeralpi",1,4,0.8
"569","Aerevias Centrales Air Service",1,1,1
"570","Aerial Transit Company",1,3,1
"571","Aero Air",1,3,1
"572","Aero Cargo",1,1,0.0526315789473684
"573","Aero Club Libya",1,14,1
"574","Aero Clube de Volta Redonda",1,4,1
"575","Aero Condor",1,10,1
"576","Aero Cozumel",1,6,0.315789473684211
"577","Aero Ejecutivos",1,3,1
"578","Aero Eslava",1,4,1
"579","Aero Ferinco Charter",1,19,1
"580","Aero France",1,11,1
"581","Aero Holland",1,34,0.971428571428571
"582","Aero Jet Express",1,4,1
"583","Aero Lloyd",1,5,1
"584","Aero Mayflower Transit Co",1,3,1
"585","Aero National - Air Taxi",1,4,1
"586","Aero PaLease - Air Taxi",1,2,1
"587","Aero Pantanal - Air Taxi",1,6,1
"588","Aero Peru",1,12,0.173913043478261
"589","Aero Sudpacifico",1,9,1
"590","Aero Taxis Equatorianos",1,22,0.916666666666667
"591","Aero Transportes",1,8,1
"592","Aero Tropical",1,8,1
"593","Aero-Tropics",1,15,1
"594","Aerocalifornia",1,21,1
"595","Aerocaribbean - Charter",1,34,1
"596","Aerochasqui",1,15,1
"597","Aerocom",1,7,1
"598","Aerocondor",1,5,1
"599","Aerocondor de Colombia",1,17,0.288135593220339
"600","Aerocontroctors - Charter",1,3,0.6
"601","Aerocord",1,9,1
"602","Aerocosta Colombia",1,2,0.5
"603","Aeroejecutivos Colombia",1,2,0.222222222222222
"604","Aeroespresso",1,2,0.222222222222222
"605","Aeroextra",1,3,1
"606","Aeroflite Services",1,2,1
"607","Aeroflot / Military - Russian Air Force",1,31,0.96875
"608","Aeroflot / Soviet Air Force",1,76,1
"609","Aeroflot /Military - Russian",1,33,1
"610","Aeroflot Russian International Airways",1,75,1
"611","Aerogulf",1,7,1
"612","Aerolatino (Aerocaribe)",1,1,0.0555555555555556
"613","Aeroleasing - Air Taxi",1,5,1
"614","Aeroleo Taxi Aereo",1,11,1
"615","Aerolift Philippines",1,21,1
"616","Aerolineas Argo",1,5,1
